buyer_name_raw,supplier_name_raw,relationship_type,product_or_service,quantified_pct,quantified_basis,source_sentence,source_url,form_type,filing_date,extraction_confidence
Broadcom,Taiwan Semiconductor Manufacturing Company Limited,supplies,front-end wafer manufacturing,,,"The majority of our front-end wafer manufacturing operations is outsourced to external foundries, including Taiwan Semiconductor Manufacturing Company Limited (""TSMC"").",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Broadcom,TSMC,supplies,assembly and test operations,,,"We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Broadcom,"Advanced Semiconductor Engineering, Inc.",supplies,assembly and test operations,,,"We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Broadcom,Foxconn Technology Group,supplies,assembly and test operations,,,"We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Broadcom,"Amkor Technology, Inc.",supplies,assembly and test operations,,,"We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Broadcom,"Siliconware Precision Industries Co., Ltd.",supplies,assembly and test operations,,,"We use third-party CMs for a significant majority of our assembly and test operations, including TSMC, Advanced Semiconductor Engineering, Inc., Foxconn Technology Group, Amkor Technology, Inc. and Siliconware Precision Industries Co., Ltd.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Broadcom,TSMC,supplies,wafers,95,units,"During fiscal year 2025, approximately 95% of the wafers manufactured by our CMs were produced by TSMC.",https://www.sec.gov/Archives/edgar/data/1730168/000173016825000121/avgo-20251102.htm,10-K,2025-12-18,high
Credo,Taiwan Semiconductor Manufacturing Company Limited (TSMC),supplies,semiconductor wafer production,,,"In fiscal year 2026, we exclusively used Taiwan Semiconductor Manufacturing Company Limited (TSMC) for semiconductor wafer production.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,Amkor Technology Inc.,supplies,packaging of IC products,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC products and BizLink Technology, Inc. (BizLink) for manufacturing our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,"Advanced Semiconductor Engineering, Inc.",supplies,packaging of IC products,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC products and BizLink Technology, Inc. (BizLink) for manufacturing our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,King Yuan Electronics Company,supplies,testing of IC products,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC products and BizLink Technology, Inc. (BizLink) for manufacturing our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,Sigurd Microelectronics Corp.,supplies,testing of IC products,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC products and BizLink Technology, Inc. (BizLink) for manufacturing our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,"BizLink Technology, Inc.",supplies,manufacturing of AEC products,,,"Upon the completion of processing at the foundry, we use third-party contractors for packaging, assembly and testing, including Amkor Technology Inc. (Amkor) and Advanced Semiconductor Engineering, Inc. (ASE) for packaging our IC products, King Yuan Electronics Company (KYEC) and Sigurd Microelectronics Corp. (Sigurd) for testing our IC products and BizLink Technology, Inc. (BizLink) for manufacturing our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,TSMC,supplies,IC manufacturing,,,"We currently outsource all of our IC manufacturing to

TSMC, with the assembly and testing processes outsourced to other subcontractors primarily in Asia.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,Amkor,supplies,assembly and test operations for IC products,,,"We also use third-party contract manufacturers for a significant majority of our assembly and test operations, including Amkor, ASE, KYEC and Sigurd for our IC products, and BizLink for our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,ASE,supplies,assembly and test operations for IC products,,,"We also use third-party contract manufacturers for a significant majority of our assembly and test operations, including Amkor, ASE, KYEC and Sigurd for our IC products, and BizLink for our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,KYEC,supplies,assembly and test operations for IC products,,,"We also use third-party contract manufacturers for a significant majority of our assembly and test operations, including Amkor, ASE, KYEC and Sigurd for our IC products, and BizLink for our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,Sigurd,supplies,assembly and test operations for IC products,,,"We also use third-party contract manufacturers for a significant majority of our assembly and test operations, including Amkor, ASE, KYEC and Sigurd for our IC products, and BizLink for our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,BizLink,supplies,assembly and test operations for AEC products,,,"We also use third-party contract manufacturers for a significant majority of our assembly and test operations, including Amkor, ASE, KYEC and Sigurd for our IC products, and BizLink for our AEC products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,TSMC,supplies,wafer foundry/fabrication capacity,,,"Our IC foundry vendor, TSMC, other manufacturers with which we contract and any foundries we may employ in the future may experience manufacturing defects and reduced manufacturing yields from time to time.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,BizLink,manufactures_for,AEC products,,,"Except for our agreement with BizLink for the manufacture of certain AEC products, we do not maintain long-term supply contracts with TSMC or generally with any of our third-party contract manufacturers or other suppliers.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
Credo,TSMC,supplies,semiconductor foundry services,,,"For example, we rely on TSMC in Taiwan as the foundry for all of our semiconductor products.",https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,10-K,2026-06-15,high
NVIDIA,Taiwan Semiconductor Manufacturing Company Limited,supplies,semiconductor wafers,,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,"Samsung Electronics Co., Ltd.",supplies,semiconductor wafers,,,"We utilize foundries, such as Taiwan Semiconductor Manufacturing Company Limited, or TSMC, and Samsung Electronics Co., Ltd., or Samsung, to produce our semiconductor wafers.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,SK Hynix Inc.,supplies,memory,,,"We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,"Micron Technology, Inc.",supplies,memory,,,"We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,Samsung,supplies,memory,,,"We purchase memory from SK Hynix Inc., Micron Technology, Inc., and Samsung.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,"Hon Hai Precision Industry Co., Ltd.",manufactures_for,"assembly, testing and packaging",,,"We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,Wistron Corporation,manufactures_for,"assembly, testing and packaging",,,"We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,Fabrinet,manufactures_for,"assembly, testing and packaging",,,"We engage with independent subcontractors and contract manufacturers such as Hon Hai Precision Industry Co., Ltd., Wistron Corporation, and Fabrinet to perform assembly, testing and packaging of our final products.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,"Groq, Inc.",licenses_to,intellectual property/technology license,,,"We have entered into an intellectual property license arrangement with Groq, Inc., or Groq, that required significant, nonrefundable payments.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
NVIDIA,"Groq, Inc.",licenses_to,language processing unit technology,,,"In December 2025, we entered into a non‐exclusive license agreement with Groq, Inc., or Groq, for its language processing unit technology and hired certain Groq employees.",https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/nvda-20260125.htm,10-K,2026-02-25,high
